Player,,,Team
Tim Hardaway Jr.,"Tim Hardaway Jr.,","if Tim Hardaway Jr. then DAL else end,",DAL
Josh Richardson,"Josh Richardson,","if Josh Richardson then PHI else end,",PHI
Myles Turner,"Myles Turner,","if Myles Turner then IND else end,",IND
Domantas Sabonis,"Domantas Sabonis,","if Domantas Sabonis then IND else end,",IND
Marc Gasol,"Marc Gasol,","if Marc Gasol then TOR else end,",TOR
Chris Paul,"Chris Paul,","if Chris Paul then OKC else end,",OKC
Jeremy Lamb,"Jeremy Lamb,","if Jeremy Lamb then IND else end,",IND
Derrick Favors,"Derrick Favors,","if Derrick Favors then NOR else end,",NOR
Montrezl Harrell,"Montrezl Harrell,","if Montrezl Harrell then LAC else end,",LAC
Caris LeVert,"Caris LeVert,","if Caris LeVert then BKN else end,",BKN
Steven Adams,"Steven Adams,","if Steven Adams then OKC else end,",OKC
Rodney Hood,"Rodney Hood,","if Rodney Hood then POR else end,",POR
Bogdan Bogdanovic,"Bogdan Bogdanovic,","if Bogdan Bogdanovic then SAC else end,",SAC
Thomas Bryant,"Thomas Bryant,","if Thomas Bryant then WAS else end,",WAS
Kevin Knox,"Kevin Knox,","if Kevin Knox then NYK else end,",NYK
Taurean Prince,"Taurean Prince,","if Taurean Prince then BKN else end,",BKN
Serge Ibaka,"Serge Ibaka,","if Serge Ibaka then TOR else end,",TOR
Enes Kanter,"Enes Kanter,","if Enes Kanter then BOS else end,",BOS
Miles Bridges,"Miles Bridges,","if Miles Bridges then CHA else end,",CHA
Darius Garland,"Darius Garland,","if Darius Garland then CLE else end,",CLE
Paul Millsap,"Paul Millsap,","if Paul Millsap then DEN else end,",DEN
Brook Lopez,"Brook Lopez,","if Brook Lopez then MIL else end,",MIL
Hassan Whiteside,"Hassan Whiteside,","if Hassan Whiteside then POR else end,",POR
Shai Gilgeous-Alexander,"Shai Gilgeous-Alexander,","if Shai Gilgeous-Alexander then OKC else end,",OKC
Dario Saric,"Dario Saric,","if Dario Saric then PHO else end,",PHO
Rui Hachimura,"Rui Hachimura,","if Rui Hachimura then WAS else end,",WAS
Will Barton,"Will Barton,","if Will Barton then DEN else end,",DEN
Al Horford,"Al Horford,","if Al Horford then PHI else end,",PHI
Tyler Herro,"Tyler Herro,","if Tyler Herro then MIA else end,",MIA
Dejounte Murray,"Dejounte Murray,","if Dejounte Murray then SAS else end,",SAS
Fred VanVleet,"Fred VanVleet,","if Fred VanVleet then TOR else end,",TOR
Ricky Rubio,"Ricky Rubio,","if Ricky Rubio then PHO else end,",PHO
Alex Len,"Alex Len,","if Alex Len then ATL else end,",ATL
Kelly Oubre Jr.,"Kelly Oubre Jr.,","if Kelly Oubre Jr. then PHO else end,",PHO
De'Andre Hunter,"De'Andre Hunter,","if De'Andre Hunter then ATL else end,",ATL
Terrence Ross,"Terrence Ross,","if Terrence Ross then ORL else end,",ORL
Wendell Carter Jr.,"Wendell Carter Jr.,","if Wendell Carter Jr. then CHI else end,",CHI
D.J. Augustin,"D.J. Augustin,","if D.J. Augustin then ORL else end,",ORL
Jeff Teague,"Jeff Teague,","if Jeff Teague then MIN else end,",MIN
Rudy Gay,"Rudy Gay,","if Rudy Gay then SAS else end,",SAS
Kent Bazemore,"Kent Bazemore,","if Kent Bazemore then POR else end,",POR
Nicolas Batum,"Nicolas Batum,","if Nicolas Batum then CHA else end,",CHA
Josh Jackson,"Josh Jackson,","if Josh Jackson then MEM else end,",MEM
Justise Winslow,"Justise Winslow,","if Justise Winslow then MIA else end,",MIA
Isaiah Thomas,"Isaiah Thomas,","if Isaiah Thomas then WAS else end,",WAS
Spencer Dinwiddie,"Spencer Dinwiddie,","if Spencer Dinwiddie then BKN else end,",BKN
Bobby Portis,"Bobby Portis,","if Bobby Portis then NYK else end,",NYK
Kevin Huerter,"Kevin Huerter,","if Kevin Huerter then ATL else end,",ATL
Derrick White,"Derrick White,","if Derrick White then SAS else end,",SAS
Joe Ingles,"Joe Ingles,","if Joe Ingles then UTH else end,",UTH
Marcus Morris,"Marcus Morris,","if Marcus Morris then NYK else end,",NYK
Kelly Olynyk,"Kelly Olynyk,","if Kelly Olynyk then MIA else end,",MIA
Joe Harris,"Joe Harris,","if Joe Harris then BKN else end,",BKN
Bam Adebayo,"Bam Adebayo,","if Bam Adebayo then MIA else end,",MIA
Jabari Parker,"Jabari Parker,","if Jabari Parker then ATL else end,",ATL
Robert Covington,"Robert Covington,","if Robert Covington then MIN else end,",MIN
Malik Monk,"Malik Monk,","if Malik Monk then CHA else end,",CHA
Dion Waiters,"Dion Waiters,","if Dion Waiters then MIA else end,",MIA
Jerami Grant,"Jerami Grant,","if Jerami Grant then DEN else end,",DEN
Dillon Brooks,"Dillon Brooks,","if Dillon Brooks then MEM else end,",MEM
Jarrett Allen,"Jarrett Allen,","if Jarrett Allen then BKN else end,",BKN
Dwight Howard,"Dwight Howard,","if Dwight Howard then LAL else end,",LAL
Lonzo Ball,"Lonzo Ball,","if Lonzo Ball then NOR else end,",NOR
Rondae Hollis-Jefferson,"Rondae Hollis-Jefferson,","if Rondae Hollis-Jefferson then TOR else end,",TOR
Willie Cauley-Stein,"Willie Cauley-Stein,","if Willie Cauley-Stein then GSW else end,",GSW
Kentavious Caldwell-Pope,"Kentavious Caldwell-Pope,","if Kentavious Caldwell-Pope then LAL else end,",LAL
Luke Kennard,"Luke Kennard,","if Luke Kennard then DET else end,",DET
Draymond Green,"Draymond Green,","if Draymond Green then GSW else end,",GSW
Mitchell Robinson,"Mitchell Robinson,","if Mitchell Robinson then NYK else end,",NYK
Ish Smith,"Ish Smith,","if Ish Smith then WAS else end,",WAS
Wesley Matthews,"Wesley Matthews,","if Wesley Matthews then MIL else end,",MIL
Mario Hezonja,"Mario Hezonja,","if Mario Hezonja then POR else end,",POR
DeMarre Carroll,"DeMarre Carroll,","if DeMarre Carroll then SAS else end,",SAS
DeAndre Jordan,"DeAndre Jordan,","if DeAndre Jordan then BKN else end,",BKN
Thaddeus Young,"Thaddeus Young,","if Thaddeus Young then CHI else end,",CHI
Derrick Rose,"Derrick Rose,","if Derrick Rose then DET else end,",DET
Jonathan Isaac,"Jonathan Isaac,","if Jonathan Isaac then ORL else end,",ORL
Bryn Forbes,"Bryn Forbes,","if Bryn Forbes then SAS else end,",SAS
Klay Thompson,"Klay Thompson,","if Klay Thompson then GSW else end,",GSW
Elfrid Payton,"Elfrid Payton,","if Elfrid Payton then NYK else end,",NYK
OG Anunoby,"OG Anunoby,","if OG Anunoby then TOR else end,",TOR
Markieff Morris,"Markieff Morris,","if Markieff Morris then DET else end,",DET
Avery Bradley,"Avery Bradley,","if Avery Bradley then LAL else end,",LAL
James Johnson,"James Johnson,","if James Johnson then MIA else end,",MIA
Cedi Osman,"Cedi Osman,","if Cedi Osman then CLE else end,",CLE
Jae Crowder,"Jae Crowder,","if Jae Crowder then MEM else end,",MEM
Markelle Fultz,"Markelle Fultz,","if Markelle Fultz then ORL else end,",ORL
Tyler Johnson,"Tyler Johnson,","if Tyler Johnson then PHO else end,",PHO
Marcus Smart,"Marcus Smart,","if Marcus Smart then BOS else end,",BOS
Norman Powell,"Norman Powell,","if Norman Powell then TOR else end,",TOR
Dewayne Dedmon,"Dewayne Dedmon,","if Dewayne Dedmon then SAC else end,",SAC
Seth Curry,"Seth Curry,","if Seth Curry then DAL else end,",DAL
Kris Dunn,"Kris Dunn,","if Kris Dunn then CHI else end,",CHI
JaVale McGee,"JaVale McGee,","if JaVale McGee then LAL else end,",LAL
JaMychal Green,"JaMychal Green,","if JaMychal Green then LAC else end,",LAC
Allen Crabbe,"Allen Crabbe,","if Allen Crabbe then ATL else end,",ATL
Tomas Satoransky,"Tomas Satoransky,","if Tomas Satoransky then CHI else end,",CHI
Dwight Powell,"Dwight Powell,","if Dwight Powell then DAL else end,",DAL
Danny Green,"Danny Green,","if Danny Green then LAL else end,",LAL
Zach Collins,"Zach Collins,","if Zach Collins then POR else end,",POR
